age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
TOTAL,FOR,NR,T,DE	606799 	503610 	398913 	317193 	266104 b	572472 	574752 	558467 	579301 	602182 	601759 	658341 	685259 	649249 	673873 	605500 
TOTAL,FOR,NR,T,DK	41342 	35756 	34562 	33717 	32505 	37488 b	42623 	34281 	29989 	27870 	27692 	30597 	33654 	30810 	27883 	28830 
TOTAL,FOR,NR,T,EE	1637 	1106 	1674 	1197 	2228 	1929 b	1952 	1488 	981 	759 	: 	: 	: 	: 	599 	663 
TOTAL,FOR,NR,T,EL	31302 	32006 	33046 	35384 	35823 	41459 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	12630 
TOTAL,FOR,NR,T,ES	248350 	272482 	335881 	330280 	365360 	567365 b	920534 	802971 	682711 	645844 	592723 b	443085 	394048 	330881 	99122 	57195 
TOTAL,FOR,NR,T,FI	23396 	22839 	20149 	17903 	17803 	19684 	17504 	13868 	12744 	11511 	9432 	9972 	11037 	9110 	7937 	8340 
TOTAL,FOR,NR,T,FR	217238 	211679 	200162 	192870 	171702 	171231 	168234 	170895 b	: 	: 	: 	: 	: 	: 	57846 	100014 
TOTAL,FOR,NR,T,HR	5286 	4751 	3810 	: 	: 	2014 	915 	1029 	: 	1526 	2100 	1997 	2159 	: 	1864 	: 
TOTAL,FOR,NR,T,HU	21250 	20339 	22305 	23713 b	25582 	35547 b	22607 	23569 	25582 	22164 	19365 	17972 	20308 	20184 	20151 	16052 
TOTAL,FOR,NR,T,IE	46599 p	37891 	33291 	32642 	32342 	60542 	97469 	109812 b	87825 	60050 	42025 	41775 	38100 	31475 	26400 	22075 
TOTAL,FOR,NR,T,IS	3604 	2650 	2205 	2269 	2508 b	7471 	9318 	: 	: 	: 	: 	1855 	2515 	2462 	1918 	1775 
TOTAL,FOR,NR,T,IT	279021 	321305 	354327 	424499 	406725 p	496549 p	515201 	254588 	282780 	394756 	424856 	161914 	172836 	192557 	152900 	127114 
TOTAL,FOR,NR,T,KG	: 	: 	: 	: 	: 	: 	478 	0 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,LI	531 	500 	488 	431 	416 	417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,FOR,NR,T,LT	3036 	2486 	1673 	1060 	1666 	2960 	2468 	2237 	2084 	2156 	3415 	4301 	3980 	669 	1644 	1528 
TOTAL,FOR,NR,T,LU	19735 	19401 	19063 	15749 	14596 	16728 	15766 	13731 	13759 	12245 	12554 	10988 	11055 	10792 	11776 	10605 
